word,wording,model,temperature,feature,k,n,rate,ci_lo,ci_hi
zikrath,W1,claude-sonnet-4-6,0.0,shy_gentle,0,30,0.000,0.000,0.114
zikrath,W1,claude-sonnet-4-6,0.0,curious,22,30,0.733,0.556,0.858
zikrath,W1,claude-sonnet-4-6,0.0,name_from_sound,0,30,0.000,0.000,0.114
zikrath,W1,claude-sonnet-4-6,1.0,round_body,3,50,0.060,0.021,0.162
zikrath,W1,claude-sonnet-4-6,1.0,soft_texture,10,50,0.200,0.112,0.330
zikrath,W1,claude-sonnet-4-6,1.0,lavender_purple,2,50,0.040,0.011,0.135
zikrath,W1,claude-sonnet-4-6,1.0,six_legs,22,50,0.440,0.312,0.577
zikrath,W1,claude-sonnet-4-6,1.0,humming_vocal,21,50,0.420,0.294,0.558
zikrath,W1,claude-sonnet-4-6,1.0,bioluminescence,18,50,0.360,0.241,0.499
zikrath,W1,claude-sonnet-4-6,1.0,large_eyes,14,50,0.280,0.175,0.417
zikrath,W1,claude-sonnet-4-6,1.0,spiral_tail,0,50,0.000,0.000,0.071
zikrath,W1,claude-sonnet-4-6,1.0,object_collecting,6,50,0.120,0.056,0.238
zikrath,W1,claude-sonnet-4-6,1.0,mood_color,3,50,0.060,0.021,0.162
zikrath,W1,claude-sonnet-4-6,1.0,waddle_gait,0,50,0.000,0.000,0.071
zikrath,W1,claude-sonnet-4-6,1.0,shy_gentle,5,50,0.100,0.043,0.214
zikrath,W1,claude-sonnet-4-6,1.0,curious,35,50,0.700,0.562,0.809
zikrath,W1,claude-sonnet-4-6,1.0,name_from_sound,0,50,0.000,0.000,0.071
zikrath,W1,gpt-5.4-mini,0.0,round_body,0,30,0.000,0.000,0.114
zikrath,W1,gpt-5.4-mini,0.0,soft_texture,24,30,0.800,0.627,0.905
zikrath,W1,gpt-5.4-mini,0.0,lavender_purple,15,30,0.500,0.332,0.668
zikrath,W1,gpt-5.4-mini,0.0,six_legs,2,30,0.067,0.018,0.213
zikrath,W1,gpt-5.4-mini,0.0,humming_vocal,13,30,0.433,0.274,0.608
zikrath,W1,gpt-5.4-mini,0.0,bioluminescence,28,30,0.933,0.787,0.982
zikrath,W1,gpt-5.4-mini,0.0,large_eyes,9,30,0.300,0.167,0.479
zikrath,W1,gpt-5.4-mini,0.0,spiral_tail,0,30,0.000,0.000,0.114
zikrath,W1,gpt-5.4-mini,0.0,object_collecting,4,30,0.133,0.053,0.297
zikrath,W1,gpt-5.4-mini,0.0,mood_color,6,30,0.200,0.095,0.373
zikrath,W1,gpt-5.4-mini,0.0,waddle_gait,0,30,0.000,0.000,0.114
zikrath,W1,gpt-5.4-mini,0.0,shy_gentle,28,30,0.933,0.787,0.982
zikrath,W1,gpt-5.4-mini,0.0,curious,23,30,0.767,0.591,0.882
zikrath,W1,gpt-5.4-mini,0.0,name_from_sound,0,30,0.000,0.000,0.114
zikrath,W1,gpt-5.4-mini,1.0,round_body,4,50,0.080,0.032,0.188
zikrath,W1,gpt-5.4-mini,1.0,soft_texture,45,50,0.900,0.786,0.957
zikrath,W1,gpt-5.4-mini,1.0,lavender_purple,21,50,0.420,0.294,0.558
zikrath,W1,gpt-5.4-mini,1.0,six_legs,0,50,0.000,0.000,0.071
zikrath,W1,gpt-5.4-mini,1.0,humming_vocal,20,50,0.400,0.276,0.538
zikrath,W1,gpt-5.4-mini,1.0,bioluminescence,44,50,0.880,0.762,0.944
zikrath,W1,gpt-5.4-mini,1.0,large_eyes,25,50,0.500,0.366,0.634
zikrath,W1,gpt-5.4-mini,1.0,spiral_tail,0,50,0.000,0.000,0.071
zikrath,W1,gpt-5.4-mini,1.0,object_collecting,5,50,0.100,0.043,0.214
zikrath,W1,gpt-5.4-mini,1.0,mood_color,11,50,0.220,0.128,0.352
zikrath,W1,gpt-5.4-mini,1.0,waddle_gait,0,50,0.000,0.000,0.071
zikrath,W1,gpt-5.4-mini,1.0,shy_gentle,43,50,0.860,0.738,0.930
zikrath,W1,gpt-5.4-mini,1.0,curious,39,50,0.780,0.648,0.872
zikrath,W1,gpt-5.4-mini,1.0,name_from_sound,0,50,0.000,0.000,0.071
zikrath,W1,gpt-5.4-nano,0.0,round_body,14,30,0.467,0.302,0.639
zikrath,W1,gpt-5.4-nano,0.0,soft_texture,22,30,0.733,0.556,0.858
zikrath,W1,gpt-5.4-nano,0.0,lavender_purple,4,30,0.133,0.053,0.297
zikrath,W1,gpt-5.4-nano,0.0,six_legs,0,30,0.000,0.000,0.114
